index;time;speed;event
0;16:13:27;0.0;Pressed Stop
1;16:13:27;0.0;Changed speed
2;16:13:27;0.0;Changed speed
3;16:13:27;0.0;Changed speed
4;16:13:27;0.0;Changed left IR sensor threshold
5;16:13:27;0.0;Changed left IR sensor threshold
6;16:13:27;0.0;Changed left IR sensor threshold
7;16:13:27;0.0;Changed right IR sensor threshold
8;16:13:27;0.0;Changed right IR sensor threshold
9;16:13:27;0.0;Changed right IR sensor threshold
10;16:13:27;0.0;Changed distance threshold
11;16:13:27;0.0;Changed distance threshold
12;16:13:27;0.0;Changed distance threshold
13;16:13:39;0.0;Pressed Stop
14;16:13:39;0.0;Switched to track mode
15;16:13:39;0.0;Stopped for obstacle
16;16:13:39;0.0;Detected obstacle
17;16:13:39;0.0;Pressed Stop
18;16:13:39;0.0;Obstacle removed
19;16:13:39;0.0;Removed obstacle
20;16:13:39;0.0;Pressed Start
21;16:13:42;0.0;Stopped for obstacle
22;16:13:42;0.0;Detected obstacle
23;16:13:42;0.0;Pressed Stop
24;16:13:46;0.0;Obstacle removed
25;16:13:46;0.0;Removed obstacle
26;16:13:46;0.0;Pressed Start
27;16:13:52;0.0;CSV downloaded
